LATITUD,LONGITUD,NOMBRE
7.1227934,-73.1222356,CAI ANTONIA SANTOS
7.161675,-73.1415229,CAI CAFÉ MADRID
7.1013338,-73.1407281,CAI CAMPO HERMOSO
7.1221507,-73.1251189,CAI CENTENARIO
7.102345,-73.1330551,CAI CHIMITA
7.1197333,-73.1233022,CAI COMERCIO
7.1226125,-73.1344164,CAI GIRARDOT
7.0853015,-73.1180906,CAI INEM
7.1522035,-73.1336676,CAI KENNEDY
7.113495,-73.118401,CAI LA CONCORDIA
7.1461981,-73.126462,CAI LA ESPERANZA
7.1108695,-73.1397951,CAI LA JOYA
7.0978148,-73.1190803,CAI LA VICTORIA
7.1412614,-73.1331857,CAI LA VIRGEN
7.12664,-73.1100091,CAI LAS AMERICAS
7.1259993,-73.1184014,CAI LOS NIÑOS
7.1344503,-73.104403,CAI MORRORICO
7.1002056,-73.1317421,CAI MUTIS
7.0990189,-73.1255525,CAI REAL DE MINAS
7.1307333,-73.1136908,CAI SAN ALONSO
7.1309077,-73.1247316,CAI SAN FRANCISCO
7.1186108,-73.1091518,CAI SAN PIO
7.1178298,-73.1370937,CAI SANTANDER
7.1164896,-73.1120825,CAI SOTOMAYOR
7.0884678,-73.1227788,CAI SUR
7.0882117,-73.12966,CAI TERMINAL DE TRANSPORTE
7.1127381,-73.1061993,CAI TERRAZAS
7.0965682,-73.1105181,CAI VIADUCTO
7.1286976,-73.1247962,COMANDO DE POLICIA SANTANDER
7.1158761,-73.1287078,COMANDO METROPOLITANO DE POLICIA
7.114938,-73.129539,EFECTY CALLE 42 COMANDO DE POLICIA
7.1171147,-73.125031,ESTACIÓN DE POLICÍA CENTRO
7.1043412,-73.1249094,ESTACIÓN DE POLICÍA SUR
7.1405154,-73.1328911,ESTACIÓN POLICÍA NORTE
7.1227501,-73.1192885,POLICIA SANTANDER SIC-SIP
