NOMBRE,LATITUD,LONGITUD
CAI SOTOMAYOR,7.1164896,-73.1120825
OFICINA ATENCIÓN AL CIUDADANO,7.1286976,-73.1247962
POLICIA NACIONAL REAL DE MINAS CAI,7.0990524,-73.1255706
CAI SANTANDER,7.1178298,-73.1370937
CAI SAN PIO,7.1186108,-73.1091518
CAI GIRARDOT,7.1224836,-73.1339547
CAI LAS AMERICAS,7.12664,-73.1100091
ESTACIÓN POLICÍA SUR,7.1018035,-73.1289482
CAI CAMPO HERMOSO,7.1013338,-73.1407281
CAI SAN FRANCISCO,7.1309077,-73.1247316
COMANDO METROPOLITANO DE POLICIA,7.1158761,-73.1287078
CAI CENTENARIO,7.1221507,-73.1251189
EFECTY CALLE 42 COMANDO DE POLICIA,7.114938,-73.129539
ESTACIÓN DE POLICÍA CENTRO,7.1231838,-73.1250203
CAI POLICE VIRGIN,7.1412614,-73.1331857
ESTACIÓN DE POLICIA SUR BUCARAMANGA,7.1036937,-73.1264464
INSPECCIÓN DE POLICÍA BUCARAMANGA,7.0976464,-73.113579
CAI ESPERANZA I CUADRANTE 006,7.1461981,-73.126462
SIJIN CRIMINAL INVESTIGATION BRANCH SANTANDER,7.1227501,-73.1192885
